model,generation,scaler,imbalance,feature_selection,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,precision,precision_std,npv,npv_std,f1,f1_std,roc_auc,roc_auc_std,pr_auc,pr_auc_std,mcc,mcc_std,train_time_sec,dataset,efficiency
Gen1_LogisticRegression,1,standard,smote_enn,mutual_info_12,0.9713182207202264,0.0014071355346258,0.9350081434524335,0.0130364997726022,0.8985718922427782,0.0263210016265718,0.971444394662089,0.0014179360152403,0.0517808967963232,0.0023792696225121,0.9998190163608176,4.739987538150901e-05,0.0979088470290173,0.0043125689856177,0.9789803143762624,0.0109565039229227,0.7719761279590489,0.0404216129368847,0.211828024208285,0.0068574418350649,221.91910099983212,creditcard,0.00044118962900567245
Gen1_LogisticRegression,1,robust,none,none,0.9762118984397288,0.001953599867863,0.945040972415101,0.0106361397650226,0.9137617656604998,0.0230452889211316,0.9763201791697024,0.0019929704984131,0.0629434048730942,0.0036567600900958,0.9998469914509808,4.094504130710777e-05,0.1177274884880326,0.0062437312153986,0.9825355408780334,0.0100904390105517,0.7744034225685466,0.0423450942789296,0.2362231997041868,0.0048034329589012,3.733794927597046,creditcard,0.0315218079627676
Gen1_LogisticRegression,1,robust,none,select_k_best_5,0.977791919945577,0.0019108819030372,0.9255981315550688,0.0197989447718023,0.8732229795520935,0.0413633037918208,0.977973283558044,0.0019785349390484,0.0645128672692379,0.0032883932225875,0.999775409669726,7.347519079055777e-05,0.1200872889851327,0.0054207760460565,0.9591585818040292,0.0130819676165413,0.7168127910173496,0.0444963321667438,0.2337041236563926,0.0046812312195302,2.016154289245605,creditcard,0.05953302116024259
Gen1_LogisticRegression,1,robust,none,select_k_best_12,0.9738681998727206,0.0017768142346796,0.936285344865632,0.0177141134427788,0.8985718922427782,0.0365201048142496,0.9739987974884856,0.0018183321365102,0.0566448518102132,0.0029662930350796,0.9998195541884078,6.52186696170818e-05,0.1065422347131301,0.0052084239710583,0.978740114711919,0.012151955699397,0.7503548889000462,0.0497687849057129,0.2218390620545587,0.0070996608962722,2.251992702484131,creditcard,0.04728920541804575
Gen1_LogisticRegression,1,robust,none,mutual_info_5,0.9777392525620489,0.001428034663827,0.9268353762922276,0.0189673358341092,0.8757546251217138,0.0393099093652637,0.9779161274627411,0.0014935035632262,0.064382613248602,0.0019588194436961,0.9997798553688186,6.991795284119771e-05,0.1199112870480939,0.0031591437814571,0.9571857626917082,0.0105318569706583,0.7183428166687047,0.0395643048716279,0.2339074124930321,0.0040689928285428,73.84720301628113,creditcard,0.0016237536209467054
Gen1_LogisticRegression,1,robust,none,mutual_info_12,0.9743465952731024,0.0012066815434693,0.937788580147356,0.0171042877719454,0.9011035378123984,0.0350997447720603,0.9744736224823136,0.001251942863722,0.0576714494803016,0.0016992929969255,0.9998241352003718,6.269362975368764e-05,0.1083912493360801,0.0030278506479495,0.978844700926573,0.0112563518447265,0.7459269502810218,0.0576378093032857,0.2243101834524056,0.0057773228492915,74.38245606422424,creditcard,0.001457195659778067
Gen1_LogisticRegression,1,robust,smote,none,0.9746406548311352,0.0016357064525644,0.9455176142913884,0.0089433980768277,0.91629341123012,0.0187736149261748,0.9747418173526567,0.0016569112515349,0.0593271937437745,0.0034675147027535,0.9998512094826078,3.361480206197172e-05,0.1114102000529367,0.0060479458900805,0.9803752004630264,0.0117392069825568,0.7765399843131983,0.0357623589717868,0.2295093135736453,0.0064653156627263,6.227624416351318,creditcard,0.01788680655723338
Gen1_LogisticRegression,1,robust,smote,select_k_best_5,0.977432026158134,0.0020040056701489,0.9254178731721928,0.019734053524021,0.8732229795520935,0.0413633037918208,0.977612766792292,0.0020733950557673,0.0635532996410295,0.0032346793864802,0.999775336553814,7.347736767770423e-05,0.1184206443299672,0.0053288901115908,0.9589564131129918,0.0124579388654712,0.7176533633038319,0.0442420807935125,0.2318942230131147,0.0041017178945428,2.45742130279541,creditcard,0.04816938585559522
Gen1_LogisticRegression,1,robust,smote,select_k_best_12,0.9706554894774956,0.001734351236153,0.9359398292821296,0.0142711181160079,0.9011035378123984,0.0291107939715341,0.9707761207518604,0.001754409559637,0.0508331129909027,0.0026894383255229,0.999823438727546,5.2329140231255366e-05,0.0962210108336459,0.0048400654006117,0.9788466711759082,0.0116137021847358,0.7467573516503455,0.0587468960810981,0.2100761914814813,0.0071519656450724,2.894009828567505,creditcard,0.0332368511789328
Gen1_LogisticRegression,1,robust,smote,mutual_info_5,0.9770150760385348,0.0015319002601823,0.926472659549815,0.0189679030694416,0.8757546251217138,0.0393099093652637,0.9771906939779164,0.0015934782296422,0.0624739904158381,0.0020624953024107,0.999779692022436,6.997089862888156e-05,0.1165947005221021,0.0034339585150855,0.9576388078972315,0.0103287668858235,0.7180814407122653,0.0396682814013489,0.2303050760563091,0.0046920140561346,74.92454981803894,creditcard,0.0015561407397778075
Gen1_LogisticRegression,1,robust,smote,mutual_info_12,0.9714059996927736,0.0012539649446747,0.9350521107538586,0.0128990800201148,0.8985718922427782,0.0263210016265718,0.9715323292649388,0.0012750984760513,0.0519040575718613,0.0019312278295601,0.9998190457877264,4.735698191506495e-05,0.0981298630905676,0.0034799526790061,0.9789369464674292,0.0108284000920304,0.7531599378986968,0.0522371869302072,0.212096145087903,0.0056093634006616,76.87101364135742,creditcard,0.0012765356134468863
